room_id,neighborhood,room_type,price,overall_satisfaction,reviews,accommodates,bedrooms,coste_3_noches,ahorro_vs_presupuesto
14933182,Santo António,Shared room,11.0,5.0,5,8,1.0,33.0,117.0
10397682,Misericórdia,Shared room,13.0,5.0,15,8,1.0,39.0,111.0
12299998,Arroios,Shared room,13.0,5.0,49,1,1.0,39.0,111.0
12305540,Arroios,Shared room,13.0,5.0,40,1,1.0,39.0,111.0
14719962,Avenidas Novas,Shared room,13.0,5.0,4,4,1.0,39.0,111.0
12268067,Arroios,Shared room,16.0,5.0,96,1,1.0,48.0,102.0
16150682,Avenidas Novas,Shared room,16.0,5.0,4,9,1.0,48.0,102.0
17096560,Areeiro,Shared room,16.0,5.0,5,1,1.0,48.0,102.0
11427995,Misericórdia,Shared room,18.0,5.0,21,8,1.0,54.0,96.0
17497074,Arroios,Shared room,18.0,5.0,7,1,1.0,54.0,96.0
